40.14671490796011 -88.24379109531611
index.html:121 40.14675981592022 -88.24379219063223
index.html:121 40.14680472388033 -88.2437932859483
index.html:121 40.14684963184044 -88.24379438126442
index.html:121 40.14689453980055 -88.24379547658049
index.html:121 40.14693944776066 -88.24379657189661
index.html:121 40.14698435572077 -88.24379766721268
index.html:121 40.14702926368088 -88.2437987625288
index.html:121 40.14707417164099 -88.24379985784492
index.html:121 40.14711839167763 -88.24380959791938
index.html:121 40.14716250911689 -88.2438206272792
index.html:121 40.14720662655615 -88.24383165663903
index.html:121 40.147250292759104 -88.24384484365135
index.html:121 40.147292557313136 -88.24386473285324
index.html:121 40.147334821867176 -88.24388462205513
index.html:121 40.147377086421216 -88.24390451125703
index.html:121 40.147419350975255 -88.24392440045892
index.html:121 40.14746161552929 -88.24394428966082
index.html:121 40.14750388008333 -88.24396417886277
index.html:121 40.14754614463737 -88.24398406806466
index.html:121 40.14758834777929 -88.24400417388966
index.html:121 40.14763030367635 -88.24402515183817
index.html:121 40.14767225957341 -88.24404612978674
index.html:121 40.14771421547047 -88.24406710773525
index.html:121 40.14775617136753 -88.24408808568376
index.html:121 40.1477981272646 -88.24410906363232
index.html:121 40.14784037807383 -88.24412900144648
index.html:121 40.14788264266173 -88.24414889066435
index.html:121 40.147924907249624 -88.24416877988222
index.html:121 40.14796717183753 -88.24418866910003
index.html:121 40.1480094962652 -88.24420592798322
index.html:121 40.148051014257454 -88.24422834769905
index.html:121 40.14809253224971 -88.24425076741483
index.html:121 40.148134050241964 -88.24427318713066
index.html:121 40.148175568234215 -88.24429560684649
index.html:121 40.148217086226474 -88.24431802656227
index.html:121 40.148258604218725 -88.2443404462781
index.html:121 40.14830012221098 -88.24436286599393
index.html:121 40.148341640203235 -88.24438528570977
index.html:121 40.148383158195486 -88.24440770542554
index.html:121 40.148424676187744 -88.24443012514138
index.html:121 40.148466194179996 -88.24445254485721
index.html:121 40.14850381872087 -88.24448381872088
index.html:121 40.148539503598236 -88.24451950359821
index.html:121 40.14857518847561 -88.2445551884756
index.html:121 40.14860218153576 -88.24460045383938
index.html:121 40.148623006968556 -88.2446525174214
index.html:121 40.14864383240135 -88.24470458100336
index.html:121 40.14866465783414 -88.24475664458532
index.html:121 40.148679931247294 -88.24481171123864
index.html:121 40.14869328905633 -88.24486781403658
index.html:121 40.14870664686537 -88.24492391683452
index.html:121 40.14872000210798 -88.24498002037711
index.html:121 40.14872602597321 -88.24503825107433
index.html:121 40.148732049838436 -88.2450964817715
index.html:121 40.14873807370366 -88.24515471246866
index.html:121 40.14874409756889 -88.24521294316588
index.html:121 40.14875013024952 -88.24527117224557
index.html:121 40.14875659141182 -88.24532932270631
index.html:121 40.148763052574125 -88.24538747316706
index.html:121 40.14876951373643 -88.24544562362786
index.html:121 40.14877597489874 -88.2455037740886
index.html:121 40.14878243606105 -88.24556192454935
index.html:121 40.148788897223355 -88.24562007501015
index.html:121 40.148795358385655 -88.2456782254709
index.html:121 40.14880181954796 -88.24573637593164
index.html:121 40.14880828071027 -88.24579452639239
index.html:121 40.14881474187258 -88.24585267685313
index.html:121 40.148821203034885 -88.24591082731393
index.html:121 40.14882766419719 -88.24596897777468
index.html:121 40.1488341253595 -88.24602712823543
index.html:121 40.1488405865218 -88.24608527869623
index.html:121 40.14884704768411 -88.24614342915697
index.html:121 40.148854481200075 -88.24620136840048
index.html:121 40.14885744377722 -88.24625917167094
index.html:121 40.14884972543475 -88.24631705923935
index.html:121 40.14884200709229 -88.2463749468078
index.html:121 40.14882282061539 -88.24642722199997
index.html:121 40.14879960391683 -88.24647752484691
index.html:121 40.14877444702197 -88.24652555297803
index.html:121 40.14873876210488 -88.2465612378951
index.html:121 40.14870307718779 -88.24659692281222
index.html:121 40.148663976882446 -88.24662573079826
index.html:121 40.14862383212211 -88.24665088112545
index.html:121 40.148579181771204 -88.246657259747
index.html:121 40.14853444983674 -88.24665752740356
index.html:121 40.14848965645726 -88.24665319256042
index.html:121 40.14844486307778 -88.24664885771722
index.html:121 40.1484000696983 -88.24664452287402
index.html:121 40.148355276318824 -88.24664018803082
index.html:121 40.148310482939344 -88.24663585318768
index.html:121 40.148265689559864 -88.24663151834449
index.html:121 40.14822089618038 -88.24662718350135
index.html:121 40.1481761028009 -88.24662284865815
index.html:121 40.14813130942142 -88.24661851381495
index.html:121 40.14808651604194 -88.24661417897181
index.html:121 40.14804172266246 -88.24660984412861
index.html:121 40.14799692928299 -88.24660550928547
index.html:121 40.14795213590351 -88.24660117444228
index.html:121 40.14790727304502 -88.24659851241114
index.html:121 40.14786238436732 -88.24659647201668
index.html:121 40.14781749568962 -88.24659443162227
index.html:121 40.14777260701192 -88.24659239122781
index.html:121 40.14772771833422 -88.2465903508334
index.html:121 40.14768280722737 -88.24659000000003
index.html:121 40.14763789146317 -88.24659000000003
index.html:121 40.14759297569896 -88.24659000000003
index.html:121 40.14754809925786 -88.24659171770526
index.html:121 40.14750326399604 -88.24659523419643
index.html:121 40.14745842873422 -88.24659875068755
index.html:121 40.14741359347239 -88.24660226717867
index.html:121 40.147368758210575 -88.24660578366979
index.html:121 40.14732392294875 -88.24660930016091
index.html:121 40.147279087686925 -88.24661281665203
index.html:121 40.14723425242511 -88.24661633314315
index.html:121 40.14718941716328 -88.24661984963427
index.html:121 40.14714458190146 -88.24662336612539
index.html:121 40.14709974663964 -88.24662688261651
index.html:121 40.14705491706917 -88.24662949170693
index.html:121 40.14701013195325 -88.24662501319534
index.html:121 40.14696534683733 -88.24662053468376
index.html:121 40.14692104805218 -88.24661101108899
